PDB_ID,TM-scoreRNA,INF-ALL,INF-WC,INF-NWC,INF-STACK,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lddt,C-lddt,length,rnatype,MSA_length,MSA_depth,Neff,method
7EXY,0.22726,0.84,1.0,,0.82,0.64,0.38,0.56,0.69,0.94,0.48,0.56,16.0,Quadruplex,16.0,1.0,0.25,af3
7KUB,0.36302,0.88,0.96,0.0,0.86,0.22,0.15,0.2,0.23,0.3,0.71,0.75,60.0,Loop,60.0,238.0,6.66719,af3
7KUC,0.46535,0.97,1.0,,0.96,0.88,0.69,0.88,0.94,1.0,0.78,0.9,16.0,Loop,16.0,1.0,0.25,af3
7KUD,0.38398,0.82,1.0,,0.78,0.86,0.69,0.77,1.0,1.0,0.42,0.88,13.0,Loop,13.0,1.0,0.27735,af3
7MKT,0.06505,0.0,,0.0,0.0,0.3,0.13,0.26,0.35,0.48,0.26,0.3,23.0,Quadruplex,23.0,4.0,0.208514,af3
7PS8,0.13037,0.25,,,0.39,0.32,0.17,0.26,0.35,0.48,0.22,0.3,23.0,Quadruplex,23.0,31.0,0.212046,af3
7Q48,0.10714,0.33,,,0.58,0.31,0.18,0.23,0.27,0.55,0.25,0.34,22.0,Quadruplex,22.0,41.0,0.96854,af3
7Q6L,0.10097,0.31,,,0.57,0.32,0.23,0.27,0.32,0.46,0.26,0.4,22.0,Quadruplex,22.0,5.0,0.426401,af3
7QA2,0.14075,0.4,,,0.67,0.34,0.18,0.27,0.36,0.55,0.28,0.4,22.0,Quadruplex,22.0,17.0,0.310918,af3
7RWR,0.38245,0.67,0.84,0.0,0.66,0.64,0.37,0.6,0.76,0.82,0.54,0.59,38.0,Loop,38.0,77.0,5.69322,af3
7SHX,0.17544,0.59,0.56,0.26,0.63,0.2,0.11,0.16,0.21,0.33,0.48,0.65,94.0,Complex,94.0,12.0,0.618853,af3
7SXP,0.06271,0.3,,0.0,0.55,0.37,0.21,0.26,0.42,0.58,0.24,0.36,22.0,Quadruplex,22.0,11.0,0.351027,af3
7UGA,0.40508,0.9,0.87,,0.91,0.6,0.35,0.51,0.56,0.98,0.78,0.85,43.0,Loop,43.0,66.0,3.12947,af3
7UMC,0.34501,0.82,0.92,0.35,0.8,0.4,0.21,0.34,0.46,0.57,0.63,0.72,70.0,L-shaped,70.0,235.0,1.42697,af3
7UMD,0.29226,0.81,1.0,,0.77,0.48,0.3,0.38,0.5,0.75,0.65,0.74,40.0,L-shaped,40.0,14.0,1.26491,af3
7UME,0.39126,0.82,0.86,,0.83,0.82,0.57,0.75,0.96,1.0,0.67,0.76,28.0,Loop,28.0,27.0,1.51586,af3
7V06,0.31867,0.72,0.71,0.0,0.78,0.57,0.26,0.46,0.67,0.88,0.68,0.76,43.0,Loop,43.0,2087.0,1.50854,af3
7WIA,0.38924,0.82,0.92,0.45,0.82,0.24,0.16,0.22,0.26,0.31,0.75,0.76,50.0,Loop,50.0,71.0,1.22852,af3
8BTZ,0.28753,0.88,1.0,,0.83,0.17,0.09,0.13,0.18,0.28,0.74,0.76,238.0,Complex,238.0,2.0,0.129641,af3
8BU8,0.2378,0.86,0.98,0.0,0.83,0.14,0.06,0.11,0.14,0.23,0.65,0.76,354.0,Complex,354.0,2.0,0.106299,af3
8BWT,0.22597,0.91,0.95,,0.91,0.66,0.31,0.5,0.85,1.0,0.73,0.74,26.0,Loop,26.0,29.0,3.74255,af3
8CLR,0.24165,0.97,0.91,,1.0,0.91,0.64,1.0,1.0,1.0,0.78,0.88,14.0,TetraLoop,14.0,1.0,0.267261,af3
8CQ1,0.45643,0.9,1.0,,0.85,0.7,0.3,0.52,0.98,1.0,0.77,0.82,44.0,Loop,44.0,17.0,0.332238,af3
8FB3,0.36314,0.71,0.83,0.17,0.82,0.71,0.38,0.65,0.82,1.0,0.63,0.69,34.0,Loop,34.0,307.0,2.96818,af3
8FCS,0.67471,0.88,0.85,,0.89,0.74,0.39,0.7,0.9,0.96,0.83,0.86,71.0,Loop,71.0,923.0,26.2691,af3
8FZA,0.26184,0.67,0.94,0.0,0.75,0.75,0.34,0.69,0.97,1.0,0.66,0.7,30.0,Complex,30.0,130.0,2.84942,af3
8HB8,0.22502,0.61,0.82,0.0,0.65,0.35,0.2,0.27,0.4,0.55,0.37,0.55,55.0,Complex,55.0,35.0,1.98798,af3
8I43,0.19923,0.81,0.86,,0.83,0.58,0.32,0.53,0.63,0.84,0.51,0.8,19.0,Loop,19.0,2.0,0.229416,af3
8I44,0.21506,0.72,0.86,,0.69,0.67,0.42,0.53,0.74,1.0,0.69,0.84,19.0,Loop,19.0,2.0,0.229416,af3
8I45,0.20611,0.89,1.0,1.0,0.8,0.76,0.37,0.68,1.0,1.0,0.68,0.79,19.0,Loop,19.0,2.0,0.229416,af3
8I46,0.19182,0.9,1.0,,0.84,0.79,0.32,0.84,1.0,1.0,0.71,0.82,19.0,Loop,19.0,1.0,0.229416,af3
8ITS,0.3098,0.84,0.97,0.41,0.84,0.4,0.28,0.37,0.46,0.5,0.55,0.6,46.0,Loop,46.0,44.0,3.39772,af3
8JHP,0.21709,0.63,0.56,,0.67,0.56,0.26,0.41,0.67,0.89,0.49,0.56,27.0,Loop,27.0,40.0,2.93201,af3
8K2Z,0.55552,0.9,1.0,1.0,0.85,0.71,0.35,0.6,0.9,1.0,0.68,0.83,57.0,L-shaped,57.0,3835.0,94.7904,af3
8K30,0.61317,0.4,0.14,0.0,0.54,0.8,0.4,0.79,1.0,1.0,0.72,0.87,56.0,L-shaped,56.0,4153.0,133.441,af3
8K8B,0.23959,0.66,0.71,1.0,0.59,0.63,0.37,0.58,0.63,0.95,0.68,0.84,19.0,Loop,19.0,1.0,0.229416,af3
8KEB,0.66235,0.37,0.0,0.0,0.58,0.76,0.44,0.68,0.94,1.0,0.79,0.79,72.0,Loop,72.0,3945.0,83.6221,af3
8Q4O,0.13807,0.25,,,0.44,0.34,0.17,0.22,0.35,0.61,0.27,0.41,23.0,Quadruplex,23.0,4.0,0.208514,af3
8Q6N,0.33247,0.84,0.85,0.5,0.86,0.57,0.28,0.5,0.65,0.85,0.65,0.72,46.0,Loop,46.0,295.0,4.61645,af3
8QO2,0.46272,0.57,0.51,0.0,0.62,0.07,0.04,0.05,0.09,0.12,0.54,0.6,222.0,Complex,222.0,67.0,1.01534,af3
8QO3,0.48945,0.75,0.7,0.0,0.78,0.37,0.14,0.26,0.48,0.6,0.7,0.74,118.0,L-shaped,118.0,12.0,0.659745,af3
8QO4,0.40196,0.7,0.67,0.0,0.73,0.31,0.08,0.19,0.42,0.56,0.58,0.62,156.0,Complex,156.0,57.0,0.331625,af3
8QO5,0.42299,0.69,0.57,,0.75,0.33,0.12,0.27,0.42,0.52,0.67,0.71,145.0,L-shaped,145.0,106.0,0.415382,af3
8SCF,0.45615,0.82,0.91,,0.79,0.82,0.63,0.73,0.93,1.0,0.74,0.81,30.0,Loop,30.0,144.0,2.6225,af3
8SCH,0.34403,0.82,0.86,,0.8,0.42,0.31,0.35,0.43,0.57,0.73,0.77,68.0,Loop,68.0,457.0,32.5883,af3
8T5O,0.25107,0.41,0.0,0.0,0.59,0.19,0.13,0.17,0.19,0.27,0.43,0.47,124.0,Loop,124.0,9699.0,14.5406,af3
8TNS,0.1101,0.0,,,0.0,0.31,0.17,0.25,0.33,0.5,0.23,0.33,24.0,Quadruplex,24.0,8.0,0.262445,af3
8TVZ,0.25297,0.87,0.97,0.39,0.84,0.11,0.05,0.1,0.13,0.16,0.62,0.64,363.0,Complex,363.0,1.0,0.0524864,af3
8UPT,0.62407,0.77,0.79,0.52,0.79,0.16,0.11,0.13,0.18,0.22,0.68,0.78,71.0,L-shaped,71.0,4095.0,188.474,af3
8UTG,0.15968,0.26,0.0,,0.45,0.33,0.19,0.19,0.33,0.62,0.29,0.42,42.0,Quadruplex,21.0,2.0,0.218218,af3
8UYG,0.39278,0.86,0.93,0.0,0.84,0.29,0.12,0.22,0.35,0.47,,,135.0,Complex,135.0,50.0,0.412469,af3
8UYM,0.39602,0.84,0.87,,0.84,0.36,0.21,0.32,0.43,0.5,,,135.0,Complex,135.0,55.0,0.407737,af3
8UYP,0.43726,0.89,0.94,0.71,0.87,0.35,0.18,0.27,0.43,0.52,,,143.0,Complex,143.0,116.0,0.66996,af3
8V1H,0.57092,0.35,0.11,0.0,0.48,0.19,0.16,0.17,0.2,0.24,0.77,0.89,75.0,L-shaped,75.0,1326.0,10.7762,af3
8V1I,0.61837,0.36,0.0,0.0,0.53,0.78,0.38,0.8,0.93,1.0,0.72,0.84,57.0,L-shaped,57.0,3716.0,92.951,af3
8VCI,0.27375,0.83,0.91,0.0,0.82,0.23,0.14,0.18,0.27,0.31,0.61,0.65,118.0,Complex,118.0,57.0,2.57761,af3
8VT5,0.68961,0.87,0.98,0.5,0.84,0.8,0.39,0.83,1.0,1.0,0.69,0.87,60.0,L-shaped,60.0,2596.0,86.6046,af3
8XZL,0.27199,0.82,0.92,0.58,0.8,0.39,0.25,0.31,0.46,0.56,0.62,0.68,53.0,Loop,53.0,72.0,1.55539,af3
8ZAU,0.35335,0.72,0.82,0.0,0.71,0.39,0.25,0.35,0.4,0.56,0.58,0.63,69.0,L-shaped,69.0,13.0,1.10354,af3
9BLM,0.44052,0.83,0.98,0.71,0.77,0.55,0.24,0.4,0.64,0.92,0.79,0.86,68.0,Loop,68.0,231.0,4.06194,af3
9BUN,0.21178,0.74,0.87,0.0,0.72,0.36,0.27,0.31,0.38,0.48,0.48,0.54,192.0,Complex,48.0,19.0,2.59808,af3
9DE6,0.43479,0.89,0.98,,0.85,0.33,0.21,0.25,0.34,0.52,0.73,0.71,57.0,Loop,57.0,4575.0,3.5827,af3
9DE7,0.50035,0.93,0.98,1.0,0.9,0.46,0.19,0.32,0.47,0.84,0.8,0.76,58.0,Loop,58.0,4371.0,3.94147,af3
9ECQ,0.35831,0.98,1.0,,0.96,0.87,0.65,0.82,1.0,1.0,0.75,0.83,17.0,Loop,17.0,1.0,0.242536,af3
9ECR,0.41407,0.86,0.83,,0.87,0.64,0.31,0.56,0.69,1.0,0.64,0.72,17.0,Loop,17.0,1.0,0.242536,af3
9EOW,0.21778,0.8,0.96,,0.74,0.33,0.24,0.28,0.34,0.45,0.7,0.81,29.0,IntraLoop,29.0,11.0,0.185695,af3
9EWW,0.2224,0.74,0.91,0.16,0.72,0.2,0.13,0.15,0.2,0.32,0.46,0.49,120.0,L-shaped,120.0,350.0,7.75368,af3
9FM4,0.24104,0.79,1.0,,0.69,0.69,0.36,0.6,0.8,1.0,0.67,0.78,25.0,Loop,25.0,33.0,1.417,af3
9FO8,0.22161,0.77,1.0,,0.67,0.6,0.31,0.45,0.66,0.97,0.59,0.76,29.0,Loop,29.0,48.0,0.984255,af3
9FO9,0.26401,0.77,0.93,,0.72,0.54,0.3,0.42,0.55,0.88,0.6,0.75,33.0,Loop,33.0,60.0,1.33322,af3
9G7C,0.31392,0.78,0.91,0.27,0.77,0.18,0.08,0.17,0.2,0.28,0.55,0.6,224.0,Complex,224.0,1540.0,15.6021,af3
9IO0,0.20246,0.92,1.0,,0.92,0.54,0.26,0.37,0.63,0.9,0.8,0.88,19.0,Loop,19.0,2.0,0.229416,af3
9IO1,0.14843,0.74,1.0,0.0,0.66,0.59,0.26,0.47,0.68,0.95,0.68,0.78,19.0,Loop,19.0,1.0,0.229416,af3
9IOR,0.23935,0.82,1.0,,0.76,0.59,0.32,0.37,0.74,0.95,0.76,0.94,19.0,Loop,19.0,1.0,0.229416,af3
9IOS,0.18702,0.93,1.0,1.0,0.89,0.5,0.26,0.37,0.53,0.84,0.7,0.77,19.0,Loop,19.0,2.0,0.229416,af3
9IOU,0.17398,0.85,1.0,1.0,0.76,0.49,0.26,0.32,0.53,0.84,0.71,0.82,19.0,Loop,19.0,1.0,0.229416,af3
R1205,0.30023,0.6,0.55,,0.65,0.4,0.29,0.38,0.44,0.47,0.41,0.44,59.0,Complex,59.0,19.0,0.664464,af3
R1209,0.3027,0.78,0.84,,0.76,0.33,0.25,0.29,0.38,0.42,0.6,0.61,72.0,Complex,72.0,1923.0,2.81855,af3
R1211,0.47669,0.88,0.96,0.5,0.84,0.48,0.3,0.38,0.59,0.64,0.63,0.69,90.0,Loop,90.0,2269.0,4.18309,af3
R1212,0.23588,0.22,0.0,0.0,0.32,0.23,0.14,0.2,0.26,0.31,0.39,0.56,247.0,Complex,247.0,74.0,0.91244,af3
R1248,0.28572,0.39,0.0,0.0,0.57,0.06,0.04,0.06,0.07,0.09,0.18,0.23,407.0,Complex,407.0,101.0,3.17057,af3
R1263,0.304,0.86,0.88,0.82,0.86,0.41,0.17,0.27,0.53,0.67,0.63,0.68,64.0,Loop,64.0,2347.0,58.8498,af3
R1271,0.74432,0.82,0.89,0.75,0.8,0.76,0.4,0.75,0.88,1.0,0.73,0.8,77.0,L-shaped,77.0,17463.0,161.281,af3
R1288,0.29578,0.68,0.68,0.29,0.72,0.48,0.29,0.35,0.49,0.76,0.64,0.64,58.0,L-shaped,58.0,33.0,3.46868,af3
R1293,0.35571,0.68,0.64,0.29,0.72,0.33,0.22,0.27,0.4,0.44,0.55,0.6,82.0,L-shaped,82.0,24.0,0.891995,af3
R1296,0.32625,0.86,0.92,0.0,0.84,0.38,0.25,0.31,0.44,0.51,0.69,0.72,72.0,L-shaped,72.0,1911.0,2.88311,af3
7EXY,0.27096,0.81,1.0,1.0,0.73,0.75,0.44,0.62,0.94,1.0,0.11,0.69,,,,,,boltz
7KUB,0.39686,0.81,0.83,,0.82,0.24,0.17,0.22,0.27,0.3,0.68,0.74,,,,,,boltz
7KUC,0.33929,0.95,1.0,,0.93,0.86,0.56,0.88,1.0,1.0,0.64,0.85,,,,,,boltz
7KUD,0.27041,0.76,1.0,,0.7,0.83,0.54,0.77,1.0,1.0,0.69,0.82,,,,,,boltz
7MKT,0.10619,0.0,,0.0,0.0,0.29,0.17,0.22,0.3,0.48,0.04,0.32,,,,,,boltz
7PS8,0.10516,0.31,,0.0,0.54,0.45,0.17,0.3,0.44,0.87,0.1,0.42,,,,,,boltz
7Q48,0.12714,0.45,,0.14,0.74,0.38,0.18,0.32,0.41,0.59,0.14,0.41,,,,,,boltz
7Q6L,0.14818,0.36,,0.0,0.69,0.39,0.18,0.32,0.46,0.59,0.22,0.44,,,,,,boltz
7QA2,0.15234,0.49,,0.12,0.84,0.43,0.23,0.36,0.46,0.68,0.23,0.46,,,,,,boltz
7RWR,0.44787,0.68,0.81,0.0,0.69,0.7,0.5,0.68,0.71,0.92,0.54,0.6,,,,,,boltz
7SHX,0.24919,0.7,0.71,0.0,0.73,0.21,0.14,0.15,0.2,0.34,0.5,0.65,,,,,,boltz
7SXP,0.23686,0.43,,0.32,0.59,0.54,0.21,0.42,0.63,0.9,0.12,0.7,,,,,,boltz
7UGA,0.32635,0.85,0.69,,0.91,0.47,0.33,0.42,0.54,0.6,0.66,0.77,,,,,,boltz
7UMC,0.41391,0.83,0.92,0.41,0.81,0.51,0.21,0.34,0.66,0.84,0.71,0.77,,,,,,boltz
7UMD,0.29686,0.82,1.0,,0.74,0.57,0.32,0.4,0.65,0.9,0.6,0.74,,,,,,boltz
7UME,0.36121,0.81,0.86,,0.83,0.78,0.5,0.71,0.89,1.0,0.67,0.71,,,,,,boltz
7V06,0.389,0.74,0.76,,0.77,0.61,0.35,0.44,0.67,0.98,0.75,0.78,,,,,,boltz
7WIA,0.3466,0.79,0.9,0.45,0.78,0.24,0.14,0.22,0.26,0.33,0.73,0.74,,,,,,boltz
8BTZ,0.22254,0.87,0.99,0.2,0.83,0.13,0.08,0.12,0.14,0.2,0.63,0.75,,,,,,boltz
8BU8,0.35885,0.87,0.96,0.0,0.84,0.2,0.05,0.11,0.26,0.39,0.57,0.82,,,,,,boltz
8BWT,0.21981,0.89,0.95,,0.86,0.65,0.31,0.5,0.81,1.0,0.74,0.75,,,,,,boltz
8CLR,0.22713,0.97,1.0,,0.95,0.88,0.57,0.93,1.0,1.0,0.75,0.91,,,,,,boltz
8CQ1,0.42347,0.9,1.0,,0.85,0.71,0.34,0.57,0.93,1.0,0.73,0.8,,,,,,boltz
8FB3,0.37594,0.68,0.68,0.24,0.79,0.76,0.35,0.74,0.94,1.0,0.42,0.73,,,,,,boltz
8FCS,0.615,0.85,0.85,,0.85,0.69,0.3,0.68,0.89,0.9,0.8,0.82,,,,,,boltz
8FZA,0.19618,0.37,0.36,0.0,0.5,0.46,0.28,0.38,0.55,0.62,0.19,0.43,,,,,,boltz
8HB8,0.19319,0.59,0.79,0.0,0.61,0.24,0.14,0.24,0.26,0.33,0.29,0.46,,,,,,boltz
8I43,0.19486,0.78,0.86,,0.78,0.6,0.32,0.53,0.63,0.95,0.77,0.86,,,,,,boltz
8I44,0.21954,0.81,0.94,,0.78,0.67,0.37,0.53,0.79,1.0,0.8,0.86,,,,,,boltz
8I45,0.19284,0.83,1.0,,0.78,0.71,0.32,0.63,0.9,1.0,0.58,0.83,,,,,,boltz
8I46,0.21902,0.9,1.0,,0.84,0.71,0.42,0.63,0.79,1.0,0.74,0.8,,,,,,boltz
8ITS,0.26224,0.85,0.97,0.58,0.84,0.35,0.24,0.3,0.39,0.46,0.49,0.58,,,,,,boltz
8JHP,0.25444,0.65,0.56,1.0,0.67,0.61,0.3,0.48,0.67,1.0,0.5,0.63,,,,,,boltz
8K2Z,0.58768,0.63,0.7,0.5,0.6,0.75,0.37,0.65,1.0,1.0,0.4,0.82,,,,,,boltz
8K30,0.37553,0.24,0.1,0.0,0.33,0.51,0.35,0.52,0.58,0.6,0.4,0.62,,,,,,boltz
8K8B,0.20711,0.78,1.0,1.0,0.63,0.67,0.37,0.53,0.84,0.95,0.7,0.82,,,,,,boltz
8KEB,0.60309,0.37,0.0,0.0,0.56,0.69,0.31,0.55,0.89,1.0,0.56,0.73,,,,,,boltz
8Q4O,0.11463,0.31,,0.0,0.71,0.32,0.17,0.26,0.35,0.48,0.03,0.44,,,,,,boltz
8Q6N,0.54981,0.87,0.91,0.5,0.89,0.78,0.35,0.78,1.0,1.0,0.64,0.79,,,,,,boltz
8QO2,0.24538,0.55,0.45,0.0,0.6,0.07,0.04,0.05,0.08,0.09,0.34,0.55,,,,,,boltz
8QO3,0.41034,0.76,0.72,0.0,0.79,0.35,0.15,0.29,0.44,0.52,0.68,0.74,,,,,,boltz
8QO4,0.41335,0.67,0.64,0.0,0.7,0.26,0.09,0.15,0.31,0.5,0.46,0.62,,,,,,boltz
8QO5,0.31311,0.64,0.42,,0.72,0.21,0.08,0.16,0.23,0.39,0.48,0.65,,,,,,boltz
8SCF,0.41437,0.82,0.91,,0.78,0.82,0.63,0.73,0.9,1.0,0.78,0.78,,,,,,boltz
8SCH,0.29319,0.83,0.91,,0.79,0.39,0.22,0.32,0.43,0.6,0.64,0.75,,,,,,boltz
8T5O,0.30955,0.41,0.0,0.0,0.58,0.26,0.14,0.2,0.28,0.4,0.38,0.55,,,,,,boltz
8TNS,0.14566,0.0,,,0.0,0.29,0.17,0.17,0.33,0.5,0.28,0.35,,,,,,boltz
8TVZ,0.44026,0.82,0.91,0.0,0.8,0.17,0.05,0.11,0.18,0.33,0.44,0.65,,,,,,boltz
8UPT,0.66113,0.74,0.79,0.45,0.75,0.16,0.1,0.13,0.17,0.22,0.69,0.76,,,,,,boltz
8UTG,0.16531,0.43,,0.17,0.63,0.48,0.24,0.38,0.48,0.81,0.16,0.45,,,,,,boltz
8UYG,0.36566,0.79,0.9,0.0,0.76,0.31,0.13,0.24,0.38,0.47,,,,,,,,boltz
8UYM,0.40098,0.78,0.78,0.0,0.81,0.33,0.16,0.33,0.38,0.45,,,,,,,,boltz
8UYP,0.31299,0.74,0.73,0.35,0.75,0.25,0.13,0.2,0.29,0.39,,,,,,,,boltz
8V1H,0.59434,0.33,0.11,0.0,0.46,0.18,0.13,0.17,0.2,0.24,0.61,0.85,,,,,,boltz
8V1I,0.56803,0.33,0.0,0.0,0.5,0.75,0.34,0.69,0.95,1.0,0.42,0.77,,,,,,boltz
8VCI,0.36171,0.81,0.89,0.0,0.79,0.28,0.14,0.18,0.3,0.48,0.52,0.66,,,,,,boltz
8VT5,0.67695,0.87,0.98,0.5,0.83,0.8,0.44,0.78,0.97,1.0,0.56,0.85,,,,,,boltz
8XZL,0.40012,0.83,0.89,0.41,0.85,0.59,0.25,0.48,0.69,0.92,0.63,0.71,,,,,,boltz
8ZAU,0.29659,0.74,0.88,0.0,0.73,0.34,0.22,0.29,0.38,0.46,0.49,0.62,,,,,,boltz
9BLM,0.51669,0.89,0.98,0.58,0.87,0.62,0.31,0.43,0.73,1.0,0.78,0.85,,,,,,boltz
9BUN,0.38283,0.76,0.87,0.0,0.78,0.55,0.33,0.5,0.6,0.75,0.44,0.65,,,,,,boltz
9DE6,0.26276,0.38,0.0,,0.58,0.34,0.2,0.27,0.39,0.48,0.21,0.46,,,,,,boltz
9DE7,0.44777,0.88,0.93,,0.87,0.46,0.18,0.26,0.44,0.95,0.73,0.75,,,,,,boltz
