PDB_ID,TM-scoreRNA,INF-ALL,INF-WC,INF-NWC,INF-STACK,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lddt,C-lddt,length,rnatype,MSA_length,MSA_depth,Neff,method
9ECQ,0.50386,0.92,1.0,,0.88,0.9,0.71,0.88,1.0,1.0,0.76,0.84,,,,,,boltz
9ECR,0.37967,0.73,0.73,,0.73,0.67,0.38,0.56,0.75,1.0,0.66,0.75,,,,,,boltz
9EOW,0.20014,0.85,1.0,,0.79,0.32,0.21,0.28,0.34,0.45,0.56,0.84,,,,,,boltz
9EWW,0.26513,0.68,0.72,0.0,0.72,0.2,0.13,0.15,0.18,0.34,0.39,0.46,,,,,,boltz
9FM4,0.2416,0.78,0.94,,0.72,0.68,0.32,0.56,0.84,1.0,0.64,0.79,,,,,,boltz
9FO8,0.23082,0.76,1.0,,0.65,0.62,0.34,0.48,0.69,0.97,0.63,0.74,,,,,,boltz
9FO9,0.24704,0.76,0.93,,0.71,0.55,0.3,0.42,0.55,0.94,0.63,0.78,,,,,,boltz
9G7C,0.22116,0.66,0.68,0.12,0.67,0.15,0.08,0.12,0.19,0.21,0.33,0.48,,,,,,boltz
9IO0,0.24801,0.9,1.0,,0.89,0.54,0.21,0.37,0.68,0.9,0.81,0.9,,,,,,boltz
9IO1,0.21158,0.74,1.0,,0.63,0.53,0.21,0.42,0.58,0.9,0.75,0.82,,,,,,boltz
9IOR,0.2393,0.82,1.0,,0.76,0.53,0.26,0.37,0.58,0.9,0.8,0.92,,,,,,boltz
9IOS,0.22048,0.87,1.0,,0.84,0.51,0.32,0.37,0.53,0.84,0.74,0.83,,,,,,boltz
9IOU,0.17086,0.8,1.0,0.0,0.76,0.51,0.26,0.32,0.58,0.9,0.77,0.83,,,,,,boltz
R1205,0.25182,0.57,0.57,0.0,0.63,0.38,0.29,0.36,0.4,0.47,0.37,0.51,,,,,,boltz
R1209,0.30327,0.8,0.87,0.0,0.79,0.33,0.19,0.28,0.38,0.49,0.47,0.61,,,,,,boltz
R1211,0.41407,0.88,0.97,0.0,0.85,0.44,0.19,0.38,0.53,0.64,0.59,0.67,,,,,,boltz
R1212,0.239,0.26,0.0,0.0,0.38,0.21,0.14,0.2,0.24,0.28,0.42,0.56,,,,,,boltz
R1248,0.22022,0.38,0.0,0.0,0.55,0.05,0.03,0.04,0.06,0.1,0.0,0.18,,,,,,boltz
R1263,0.49274,0.92,1.0,1.0,0.89,0.62,0.31,0.5,0.72,0.94,0.55,0.8,,,,,,boltz
R1271,0.72539,0.82,0.91,1.0,0.77,0.76,0.38,0.73,0.94,0.99,0.57,0.8,,,,,,boltz
R1288,0.30832,0.68,0.68,0.41,0.7,0.49,0.24,0.33,0.53,0.86,0.62,0.64,,,,,,boltz
R1293,0.36727,0.76,0.85,0.22,0.76,0.44,0.2,0.32,0.45,0.78,0.48,0.66,,,,,,boltz
R1296,0.29787,0.83,0.97,0.0,0.79,0.35,0.21,0.29,0.43,0.47,0.57,0.68,,,,,,boltz
7EXY,0.20765,0.88,1.0,1.0,0.82,0.69,0.38,0.5,0.88,1.0,0.62,0.67,,,,,,chai
7KUB,0.33353,0.86,0.9,0.0,0.88,0.23,0.15,0.22,0.27,0.3,0.7,0.76,,,,,,chai
7KUC,0.33573,0.86,0.91,,0.83,0.88,0.56,0.94,1.0,1.0,0.75,0.88,,,,,,chai
7KUD,0.30498,0.9,1.0,,0.86,0.81,0.54,0.77,0.92,1.0,0.74,0.86,,,,,,chai
7MKT,0.11349,0.0,,,0.0,0.26,0.13,0.17,0.26,0.48,0.25,0.31,,,,,,chai
7PS8,0.14895,0.35,,,0.49,0.28,0.17,0.22,0.3,0.44,0.19,0.28,,,,,,chai
7Q48,0.12852,0.49,,,0.75,0.32,0.23,0.27,0.32,0.46,0.23,0.33,,,,,,chai
7Q6L,0.12497,0.36,,,0.6,0.32,0.23,0.27,0.32,0.46,0.28,0.44,,,,,,chai
7QA2,0.11873,0.46,,,0.69,0.33,0.18,0.32,0.32,0.5,0.25,0.36,,,,,,chai
7RWR,0.27836,0.69,0.84,0.0,0.68,0.57,0.26,0.45,0.68,0.87,0.52,0.58,,,,,,chai
7SHX,0.17696,0.62,0.73,0.0,0.59,0.2,0.11,0.15,0.24,0.32,0.54,0.64,,,,,,chai
7SXP,0.13791,0.33,,,0.6,0.38,0.26,0.26,0.37,0.63,0.23,0.38,,,,,,chai
7UGA,0.3167,0.84,0.87,,0.88,0.51,0.33,0.4,0.56,0.77,0.61,0.8,,,,,,chai
7UMC,0.31398,0.7,0.57,0.0,0.77,0.36,0.21,0.27,0.46,0.51,0.46,0.65,,,,,,chai
7UMD,0.34879,0.81,1.0,,0.72,0.59,0.32,0.45,0.7,0.9,0.57,0.73,,,,,,chai
7UME,0.40673,0.77,0.86,,0.78,0.8,0.57,0.68,0.93,1.0,0.66,0.75,,,,,,chai
7V06,0.48251,0.83,0.97,0.0,0.83,0.78,0.4,0.81,0.93,1.0,0.79,0.82,,,,,,chai
7WIA,0.32442,0.8,0.88,0.32,0.82,0.25,0.14,0.2,0.29,0.37,0.64,0.77,,,,,,chai
8BTZ,0.54226,0.89,1.0,0.58,0.84,0.34,0.11,0.19,0.43,0.65,0.77,0.82,,,,,,chai
8BU8,0.23294,0.83,0.9,0.0,0.82,0.12,0.06,0.1,0.16,0.19,0.61,0.75,,,,,,chai
8BWT,0.24246,0.89,0.95,,0.88,0.69,0.31,0.58,0.88,1.0,0.74,0.76,,,,,,chai
8CLR,0.25075,0.91,1.0,,0.86,0.88,0.5,1.0,1.0,1.0,0.7,0.82,,,,,,chai
8CQ1,0.38626,0.87,0.94,,0.84,0.68,0.25,0.52,0.93,1.0,0.75,0.79,,,,,,chai
8FB3,0.25761,0.46,0.0,0.0,0.64,0.26,0.15,0.18,0.32,0.41,0.25,0.37,,,,,,chai
8FCS,0.59979,0.88,0.86,,0.89,0.66,0.31,0.52,0.87,0.93,0.81,0.83,,,,,,chai
8FZA,0.18728,0.62,0.68,,0.75,0.47,0.28,0.41,0.55,0.66,0.41,0.47,,,,,,chai
8HB8,0.29295,0.56,0.74,0.0,0.59,0.4,0.22,0.33,0.44,0.6,0.31,0.56,,,,,,chai
8I43,0.16197,0.81,0.86,1.0,0.78,0.6,0.37,0.47,0.63,0.95,0.72,0.83,,,,,,chai
8I44,0.17371,0.74,0.86,,0.71,0.63,0.32,0.47,0.74,1.0,0.71,0.78,,,,,,chai
8I45,0.16642,0.8,0.86,,0.8,0.7,0.32,0.68,0.79,1.0,0.66,0.82,,,,,,chai
8I46,0.18004,0.85,1.0,,0.81,0.68,0.37,0.63,0.79,0.95,0.71,0.81,,,,,,chai
8ITS,0.28633,0.84,0.97,0.71,0.82,0.41,0.28,0.37,0.46,0.54,0.55,0.59,,,,,,chai
8JHP,0.24458,0.77,0.88,0.71,0.74,0.69,0.3,0.59,0.89,1.0,0.63,0.7,,,,,,chai
8K2Z,0.34971,0.76,0.85,0.71,0.74,0.51,0.26,0.33,0.6,0.84,0.56,0.64,,,,,,chai
8K30,0.53594,0.33,0.0,0.0,0.49,0.69,0.4,0.62,0.79,0.96,0.59,0.73,,,,,,chai
8K8B,0.17385,0.71,1.0,,0.59,0.57,0.21,0.42,0.68,0.95,0.64,0.72,,,,,,chai
8KEB,0.31577,0.39,0.0,0.0,0.6,0.37,0.2,0.3,0.38,0.61,0.54,0.61,,,,,,chai
8Q4O,0.10855,0.34,,,0.54,0.3,0.17,0.22,0.3,0.52,0.22,0.37,,,,,,chai
8Q6N,0.40027,0.76,0.69,,0.83,0.59,0.35,0.48,0.56,0.96,0.62,0.73,,,,,,chai
8QO2,0.22837,0.55,0.38,0.0,0.64,0.06,0.04,0.05,0.06,0.1,0.34,0.51,,,,,,chai
8QO3,0.39579,0.76,0.65,0.0,0.82,0.35,0.15,0.28,0.44,0.52,0.66,0.72,,,,,,chai
8QO4,0.27552,0.67,0.58,0.0,0.71,0.2,0.08,0.15,0.24,0.35,0.52,0.61,,,,,,chai
8QO5,0.23883,0.62,0.36,,0.71,0.19,0.08,0.17,0.23,0.3,0.47,0.61,,,,,,chai
8SCF,0.35514,0.81,0.86,,0.8,0.78,0.43,0.77,0.9,1.0,0.77,0.81,,,,,,chai
8SCH,0.3242,0.72,0.83,,0.68,0.38,0.26,0.34,0.41,0.5,0.62,0.74,,,,,,chai
8T5O,0.2834,0.44,0.0,0.0,0.62,0.19,0.12,0.17,0.21,0.26,0.37,0.47,,,,,,chai
8TNS,0.10459,0.0,,,0.0,0.34,0.17,0.25,0.38,0.58,0.28,0.35,,,,,,chai
8TVZ,0.41025,0.82,0.92,0.0,0.79,0.15,0.06,0.1,0.15,0.29,0.58,0.64,,,,,,chai
8UPT,0.40738,0.69,0.7,0.26,0.72,0.16,0.1,0.13,0.17,0.22,0.6,0.71,,,,,,chai
8UTG,0.05151,0.35,,,0.52,0.34,0.19,0.29,0.38,0.52,0.23,0.32,,,,,,chai
8UYG,0.30983,0.57,0.17,0.0,0.73,0.13,0.08,0.1,0.16,0.18,,,,,,,,chai
8UYM,0.27704,0.78,0.7,,0.82,0.24,0.12,0.17,0.27,0.41,,,,,,,,chai
8UYP,0.22662,0.77,0.82,0.25,0.78,0.2,0.13,0.18,0.22,0.27,,,,,,,,chai
8V1H,0.56451,0.33,0.0,0.0,0.48,0.19,0.14,0.17,0.2,0.24,0.7,0.72,,,,,,chai
8V1I,0.42743,0.4,0.0,0.0,0.56,0.55,0.33,0.46,0.58,0.82,0.63,0.65,,,,,,chai
8VCI,0.23514,0.8,0.88,0.0,0.8,0.22,0.14,0.17,0.26,0.32,0.6,0.67,,,,,,chai
8VT5,0.46968,0.76,0.86,0.41,0.72,0.59,0.29,0.48,0.68,0.92,0.45,0.7,,,,,,chai
8XZL,0.30423,0.79,0.92,0.58,0.77,0.42,0.27,0.35,0.52,0.56,0.59,0.68,,,,,,chai
8ZAU,0.3289,0.75,0.91,,0.71,0.34,0.24,0.29,0.35,0.47,0.46,0.59,,,,,,chai
9BLM,0.37959,0.62,0.33,0.5,0.76,0.33,0.21,0.28,0.33,0.49,0.5,0.59,,,,,,chai
9BUN,0.37039,0.67,0.69,0.0,0.69,0.54,0.27,0.52,0.65,0.71,0.47,0.59,,,,,,chai
9DE6,0.55175,0.88,0.96,,0.84,0.45,0.2,0.29,0.41,0.89,0.8,0.84,,,,,,chai
9DE7,0.48962,0.78,0.91,,0.74,0.43,0.19,0.25,0.46,0.82,0.76,0.74,,,,,,chai
9ECQ,0.37724,0.8,0.84,,0.82,0.85,0.71,0.76,0.94,1.0,0.78,0.8,,,,,,chai
9ECR,0.4179,0.74,0.73,,0.75,0.67,0.38,0.56,0.75,1.0,0.7,0.73,,,,,,chai
9EOW,0.16285,0.84,1.0,,0.78,0.3,0.17,0.24,0.34,0.45,0.71,0.77,,,,,,chai
9EWW,0.1944,0.47,0.0,0.0,0.66,0.09,0.06,0.08,0.1,0.13,0.22,0.28,,,,,,chai
9FM4,0.20345,0.73,1.0,,0.6,0.63,0.2,0.52,0.8,1.0,0.68,0.74,,,,,,chai
9FO8,0.1992,0.74,0.96,,0.63,0.53,0.28,0.38,0.59,0.9,0.62,0.73,,,,,,chai
9FO9,0.2359,0.8,0.93,,0.76,0.52,0.3,0.39,0.48,0.88,0.66,0.76,,,,,,chai
9G7C,0.22217,0.55,0.35,0.0,0.64,0.13,0.09,0.1,0.13,0.18,0.31,0.42,,,,,,chai
9IO0,0.18491,0.83,1.0,0.0,0.81,0.55,0.26,0.42,0.68,0.84,0.75,0.83,,,,,,chai
9IO1,0.14867,0.8,1.0,1.0,0.66,0.51,0.21,0.32,0.68,0.84,0.67,0.75,,,,,,chai
9IOR,0.24999,0.76,1.0,,0.66,0.57,0.32,0.42,0.68,0.84,0.7,0.8,,,,,,chai
9IOS,0.19625,0.9,0.93,0.71,0.92,0.49,0.32,0.37,0.47,0.79,0.77,0.84,,,,,,chai
9IOU,0.20248,0.76,1.0,,0.66,0.47,0.26,0.37,0.53,0.74,0.64,0.8,,,,,,chai
R1205,0.269,0.44,0.36,0.0,0.55,0.32,0.24,0.27,0.34,0.44,0.28,0.42,,,,,,chai
R1209,0.25469,0.76,0.9,,0.7,0.29,0.18,0.24,0.32,0.43,0.58,0.59,,,,,,chai
R1211,0.41496,0.86,0.92,0.0,0.85,0.41,0.19,0.32,0.47,0.68,0.62,0.68,,,,,,chai
R1212,0.24179,0.28,0.0,0.0,0.41,0.25,0.17,0.22,0.26,0.34,0.5,0.57,,,,,,chai
R1248,0.23926,0.45,0.0,0.0,0.64,0.06,0.04,0.06,0.07,0.08,0.13,0.2,,,,,,chai
R1263,0.27553,0.75,0.83,0.0,0.77,0.38,0.2,0.28,0.36,0.67,0.56,0.66,,,,,,chai
R1271,0.62939,0.79,0.89,0.58,0.77,0.69,0.23,0.6,0.92,1.0,0.73,0.78,,,,,,chai
R1288,0.24632,0.64,0.68,0.41,0.65,0.4,0.24,0.31,0.43,0.61,0.54,0.59,,,,,,chai
R1293,0.45625,0.71,0.81,0.29,0.69,0.42,0.16,0.26,0.49,0.78,0.54,0.64,,,,,,chai
R1296,0.26851,0.83,0.9,0.0,0.82,0.31,0.19,0.28,0.33,0.42,0.58,0.65,,,,,,chai
7EXY,0.25169,0.87,1.0,1.0,0.8,0.62,0.25,0.56,0.75,0.94,0.53,0.63,,,,,,hf3
7KUB,0.35902,0.85,0.92,,0.82,0.23,0.17,0.2,0.25,0.3,0.65,0.7,,,,,,hf3
7KUC,0.36668,0.95,1.0,,0.96,0.84,0.56,0.81,1.0,1.0,0.58,0.85,,,,,,hf3
7KUD,0.35551,0.8,0.89,,0.8,0.94,0.77,1.0,1.0,1.0,0.12,0.87,,,,,,hf3
7MKT,0.12008,0.0,,0.0,0.0,0.33,0.13,0.22,0.39,0.56,0.0,0.37,,,,,,hf3
7PS8,0.13334,0.21,,0.0,0.35,0.32,0.13,0.22,0.3,0.61,0.16,0.33,,,,,,hf3
7Q48,0.13898,0.34,,,0.58,0.3,0.14,0.23,0.27,0.55,0.18,0.32,,,,,,hf3
7Q6L,0.14837,0.32,,0.13,0.48,0.35,0.18,0.23,0.36,0.64,0.2,0.41,,,,,,hf3
7QA2,0.12574,0.46,,,0.69,0.34,0.23,0.32,0.32,0.5,0.25,0.35,,,,,,hf3
7RWR,0.28942,0.62,0.64,0.0,0.69,0.48,0.29,0.45,0.53,0.66,0.43,0.53,,,,,,hf3
7SHX,0.26902,0.65,0.73,0.26,0.64,0.2,0.11,0.17,0.21,0.3,0.56,0.67,,,,,,hf3
7SXP,0.0447,0.24,,0.0,0.58,0.47,0.21,0.37,0.53,0.79,0.0,0.44,,,,,,hf3
7UGA,0.31472,0.89,0.9,,0.89,0.55,0.3,0.42,0.56,0.91,0.67,0.77,,,,,,hf3
7UMC,0.29232,0.83,0.94,0.32,0.82,0.34,0.17,0.26,0.43,0.51,0.57,0.69,,,,,,hf3
7UMD,0.21713,0.71,1.0,,0.61,0.38,0.2,0.3,0.45,0.55,0.54,0.64,,,,,,hf3
7UME,0.22378,0.8,0.86,,0.83,0.64,0.32,0.54,0.71,1.0,0.59,0.7,,,,,,hf3
7V06,0.31508,0.8,0.94,,0.79,0.64,0.33,0.49,0.74,1.0,0.73,0.79,,,,,,hf3
7WIA,0.26068,0.73,0.85,0.32,0.71,0.19,0.12,0.14,0.22,0.26,0.55,0.71,,,,,,hf3
8BTZ,0.25987,0.9,0.99,0.72,0.85,0.19,0.13,0.16,0.21,0.27,0.76,0.78,,,,,,hf3
8BU8,0.35399,0.83,0.96,0.0,0.78,0.16,0.05,0.1,0.16,0.32,0.26,0.72,,,,,,hf3
8BWT,0.21498,0.92,0.95,,0.91,0.67,0.35,0.54,0.81,1.0,0.69,0.74,,,,,,hf3
8CLR,0.27882,0.88,1.0,,0.8,0.86,0.5,0.93,1.0,1.0,0.55,0.9,,,,,,hf3
8CQ1,0.38878,0.88,1.0,,0.82,0.69,0.27,0.5,0.98,1.0,0.75,0.82,,,,,,hf3
8FB3,0.26562,0.73,0.91,0.47,0.76,0.57,0.26,0.56,0.62,0.85,0.29,0.61,,,,,,hf3
8FCS,0.43196,0.88,0.92,,0.87,0.49,0.27,0.49,0.58,0.61,0.73,0.79,,,,,,hf3
8FZA,0.21402,0.69,0.94,0.26,0.77,0.73,0.34,0.59,1.0,1.0,0.55,0.69,,,,,,hf3
8HB8,0.19791,0.5,0.54,0.0,0.56,0.28,0.14,0.22,0.29,0.47,0.29,0.42,,,,,,hf3
8I43,0.26151,0.85,1.0,,0.8,0.67,0.47,0.58,0.63,1.0,0.73,0.85,,,,,,hf3
8I44,0.15447,0.86,1.0,,0.8,0.7,0.42,0.58,0.79,1.0,0.61,0.78,,,,,,hf3
8I45,0.20113,0.87,1.0,0.0,0.87,0.71,0.37,0.58,0.9,1.0,0.7,0.83,,,,,,hf3
8I46,0.24284,0.94,1.0,,0.91,0.75,0.26,0.79,0.95,1.0,0.69,0.79,,,,,,hf3
8ITS,0.29085,0.87,0.97,0.71,0.86,0.38,0.24,0.35,0.44,0.48,0.54,0.6,,,,,,hf3
8JHP,0.22424,0.72,0.56,1.0,0.77,0.49,0.3,0.37,0.52,0.78,0.47,0.62,,,,,,hf3
8K2Z,0.29386,0.86,1.0,1.0,0.79,0.43,0.25,0.3,0.46,0.72,0.63,0.65,,,,,,hf3
8K30,0.3084,0.35,0.14,0.0,0.48,0.38,0.31,0.36,0.38,0.48,0.6,0.66,,,,,,hf3
8K8B,0.20575,0.74,0.94,,0.66,0.62,0.21,0.47,0.84,0.95,0.56,0.85,,,,,,hf3
8KEB,0.69134,0.37,0.0,0.0,0.6,0.77,0.44,0.69,0.96,1.0,0.74,0.83,,,,,,hf3
8Q4O,0.13689,0.3,,0.0,0.5,0.32,0.17,0.22,0.3,0.56,0.22,0.41,,,,,,hf3
8Q6N,0.44513,0.83,0.81,0.35,0.87,0.66,0.39,0.54,0.72,0.98,0.57,0.71,,,,,,hf3
8QO2,0.20328,0.58,0.51,0.0,0.64,0.06,0.03,0.04,0.06,0.1,0.47,0.57,,,,,,hf3
8QO3,0.37517,0.78,0.7,,0.81,0.34,0.14,0.3,0.41,0.51,0.68,0.74,,,,,,hf3
8QO4,0.33193,0.68,0.67,0.0,0.7,0.22,0.08,0.14,0.29,0.38,0.54,0.61,,,,,,hf3
8QO5,0.36726,0.64,0.58,,0.69,0.26,0.09,0.17,0.33,0.45,0.53,0.68,,,,,,hf3
8SCF,0.39699,0.8,0.86,,0.78,0.82,0.57,0.8,0.93,1.0,0.66,0.81,,,,,,hf3
8SCH,0.29693,0.78,0.91,,0.73,0.28,0.22,0.26,0.29,0.35,0.57,0.68,,,,,,hf3
8T5O,0.15921,0.39,0.0,0.0,0.57,0.15,0.1,0.14,0.16,0.21,0.31,0.42,,,,,,hf3
8TNS,0.10507,0.0,,,0.0,0.28,0.17,0.17,0.33,0.46,0.02,0.35,,,,,,hf3
8TVZ,0.33252,0.8,0.94,0.0,0.74,0.12,0.05,0.09,0.14,0.18,0.58,0.64,,,,,,hf3
8UPT,0.21266,0.71,0.77,0.32,0.71,0.15,0.1,0.14,0.16,0.2,0.55,0.58,,,,,,hf3
8UTG,0.12801,0.07,,0.0,0.18,0.39,0.19,0.29,0.43,0.67,0.02,0.42,,,,,,hf3
8UYG,0.30681,0.77,0.91,0.0,0.75,0.23,0.1,0.18,0.3,0.33,,,,,,,,hf3
8UYM,0.38417,0.79,0.84,,0.78,0.33,0.15,0.25,0.41,0.53,,,,,,,,hf3
8UYP,0.38017,0.83,0.91,0.41,0.8,0.31,0.15,0.23,0.41,0.46,,,,,,,,hf3
8V1H,0.58333,0.34,0.11,0.0,0.47,0.18,0.11,0.17,0.2,0.22,0.75,0.86,,,,,,hf3
8V1I,0.29223,0.33,0.0,0.0,0.51,0.35,0.29,0.34,0.34,0.42,0.53,0.6,,,,,,hf3
8VCI,0.35249,0.76,0.88,0.0,0.72,0.29,0.12,0.21,0.39,0.46,0.51,0.59,,,,,,hf3
8VT5,0.40826,0.88,0.98,0.5,0.84,0.52,0.27,0.41,0.64,0.75,0.62,0.71,,,,,,hf3
8XZL,0.2601,0.71,0.94,0.29,0.65,0.38,0.23,0.29,0.4,0.58,0.56,0.61,,,,,,hf3
8ZAU,0.33727,0.7,0.91,0.0,0.66,0.36,0.25,0.34,0.37,0.47,0.56,0.62,,,,,,hf3
9BLM,0.23524,0.81,0.96,0.0,0.76,0.31,0.18,0.24,0.37,0.43,0.56,0.7,,,,,,hf3
9BUN,0.36321,0.71,0.9,0.0,0.69,0.5,0.29,0.46,0.58,0.69,0.46,0.62,,,,,,hf3
9DE6,0.53952,0.92,0.98,,0.9,0.47,0.25,0.34,0.43,0.86,0.77,0.79,,,,,,hf3
9DE7,0.50675,0.88,0.96,0.71,0.86,0.45,0.19,0.3,0.47,0.84,0.75,0.75,,,,,,hf3
9ECQ,0.27222,0.92,0.93,,0.92,0.78,0.41,0.71,1.0,1.0,0.68,0.87,,,,,,hf3
9ECR,0.29519,0.85,0.82,,0.87,0.59,0.38,0.38,0.62,1.0,0.66,0.74,,,,,,hf3
9EOW,0.18449,0.87,1.0,0.0,0.84,0.32,0.24,0.28,0.34,0.41,0.66,0.82,,,,,,hf3
9EWW,0.17392,0.64,0.82,0.14,0.6,0.16,0.12,0.13,0.18,0.22,0.36,0.4,,,,,,hf3
9FM4,0.2167,0.82,0.95,,0.76,0.66,0.32,0.52,0.8,1.0,0.56,0.77,,,,,,hf3
9FO8,0.17442,0.82,1.0,,0.75,0.58,0.24,0.45,0.66,0.97,0.61,0.77,,,,,,hf3
9FO9,0.25152,0.78,0.96,,0.73,0.58,0.3,0.39,0.61,1.0,0.58,0.77,,,,,,hf3
9G7C,0.21041,0.71,0.83,0.19,0.7,0.14,0.07,0.1,0.17,0.21,0.42,0.54,,,,,,hf3
9IO0,0.19481,0.95,1.0,,0.96,0.53,0.26,0.37,0.63,0.84,0.67,0.89,,,,,,hf3
9IO1,0.20285,0.78,1.0,,0.64,0.58,0.26,0.42,0.68,0.95,0.44,0.79,,,,,,hf3
